"num" "character" "dialogue"
"501" "HAN" "It's too big to be a space station."
"502" "LUKE" "I have a very bad feeling about this."
"503" "BEN" "Turn the ship around!"
"504" "HAN" "Yeah, I think your right.  Full reverse!  Chewie, lock in the auxiliary power."
"505" "LUKE" "Why are we still moving towards it?"
"506" "HAN" "We're caught in a tractor beam!  It's pulling us in!"
"507" "LUKE" "But there's gotta be something you can do!"
"508" "HAN" "There's nothin' I can do about it, kid.  I'm in full power.  I'm going to have to shut down.  But they're not going to get me without a fight!"
"509" "BEN" "You can't win.  But there are alternatives to fighting."
"510" "VOICE OVER DEATH STAR INTERCOM" "Clear Bay twenty-three-seven.  We are opening the magnetic field."
"511" "OFFICER" "To your stations!"
"512" "OFFICER" "Come with me."
"513" "OFFICER" "Close all outboard shields!  Close all outboard shields!"
"514" "TARKIN" "Yes."
"515" "VOICE" "We've captured a freighter entering the remains of the Alderaan system.  It's markings match those of a ship that blasted its way out of Mos Eisley."
"516" "VADER" "They must be trying to return the stolen plans to the princess.  She may yet be of some use to us."
"517" "VOICE" "Unlock one-five-seven and nine. Release charges."
"518" "OFFICER" "There's no one on board, sir.  According to the log, the crew abandoned ship right after takeoff.  It must be a decoy, sir.  Several of the escape pods have been jettisoned."
"519" "VADER" "Did you find any droids?"
"520" "OFFICER" "No, sir.  If there were any on board, they must also have jettisoned."
"521" "VADER" "Send a scanning crew on board.  I want every part of this ship checked."
"522" "OFFICER" "Yes, sir."
"523" "VADER" "I sense something... a presence I haven't felt since..."
"524" "OFFICER" "Get me a scanning crew in here on the double.  I want every part of this ship checked!"
"525" "LUKE" "Boy, it's lucky you had these compartments."
"526" "HAN" "I use them for smuggling.  I never thought I'd be smuggling myself in them.  This is ridiculous.  Even if I could take off, I'd never get past the tractor beam."
"527" "BEN" "Leave that to me!"
"528" "HAN" "Damn fool. I knew that you were going to say that!"
"529" "BEN" "Who's the more foolish... the fool or the fool who follows him?"
"530" "TROOPER" "The ship's all yours.  If the scanners pick up anything, report it immediately.  All right, let's go."
"531" "HAN" "Hey down there, could you give us a hand with this?"
"532" "GANTRY OFFICER" "TX-four-one-two.  Why aren't you at your post?  TX-four-one-two, do you copy? "
"533" "GANTRY OFFICER" "Take over.  We've got a bad transmitter.  I'll see what I can do."
"534" "LUKE" "You know, between his howling and your blasting everything in sight, it's a wonder the whole station doesn't know we're here."
"535" "HAN" "Bring them on!  I prefer a straight fight to all this sneaking around."
"536" "THREEPIO" "We found the computer outlet, sir."
"537" "BEN" "Plug in.  He should be able to interpret the entire Imperial computer network."
"538" "THREEPIO" "He says he's found the main control to the power beam that's holding the ship here.  He'll try to make the precise location appear on the monitor."
"539" "THREEPIO" "The tractor beam is coupled to the main reactor in seven locations.  A power loss at one of the terminals will allow the ship to leave."
"540" "BEN" "I don't think you boys can help.  I must go alone."
"541" "HAN" "Whatever you say.  I've done more than I bargained for on this trip already."
"542" "LUKE" "I want to go with you."
"543" "BEN" "Be patient, Luke.  Stay and watch over the droids."
"544" "LUKE" "But he can..."
"545" "BEN" "They must be delivered safely or other star systems will suffer the same fate as Alderaan.  Your destiny lies along a different path from mine.  The Force will be with you... always!"
"546" "HAN" "Boy you said it, Chewie."
"547" "HAN" "Where did you dig up that old fossil?"
"548" "LUKE" "Ben is a great man."
"549" "HAN" "Yeah, great at getting us into trouble."
"550" "LUKE" "I didn't hear you give any ideas..."
"551" "HAN" "Well, anything would be better than just hanging around waiting for them to pick us up..."
"552" "LUKE" "Who do you think..."
"553" "LUKE" "What is it?"
"554" "THREEPIO" "I'm afraid I'm not quite sure, sir. He says \"I found her,\" and keepsrepeating, \"She's here.\""
"555" "LUKE" "Well, who... who has he found?"
"556" "THREEPIO" "Princess Leia."
"557" "LUKE" "The princess?  She's here?"
"558" "HAN" "Princess?"
"559" "LUKE" "Where... where is she?"
"560" "HAN" "Princess?  What's going on?"
"561" "THREEPIO" "Level five. Detention block AA-twenty-three.  I'm afraid she's scheduled to be terminated."
"562" "LUKE" "Oh, no!  We've got to do something."
"563" "HAN" "What are you talking about?"
"564" "LUKE" "The droid belongs to her.  She's the one in the message.  We've got to help her."
"565" "HAN" "Now, look, don't get any funny ideas.  The old man wants us to wait right here."
"566" "LUKE" "But he didn't know she was here.  Look, will you just find a way back into the detention block?"
"567" "HAN" "I'm not going anywhere."
"568" "LUKE" "They're going to execute her.  Look, a few minutes ago you said you didn't want to just wait here to be captured.  Now all you want to do is stay. "
"569" "HAN" "Marching into the detention area is not what I had in mind."
"570" "LUKE" "But they're going to kill her!"
"571" "HAN" "Better her than me..."
"572" "LUKE" "She's rich."
"573" "HAN" "Rich?"
"574" "LUKE" "Yes.  Rich, powerful!  Listen, if you were to rescue her, the reward would be..."
"575" "HAN" "What?"
"576" "LUKE" "Well more wealth that you can imagine."
"577" "HAN" "I don't know, I can imagine quite a bit!"
"578" "LUKE" "You'll get it!"
"579" "HAN" "I better!"
"580" "LUKE" "You will..."
"581" "HAN" "All right, kid.  But you'd better be right about this!"
"582" "LUKE" "All right."
"583" "HAN" "What's your plan?"
"584" "LUKE" "Uh... Threepio, hand me those binders there will you?"
"585" "LUKE" "Okay.  Now, I'm going to put these on you."
"586" "LUKE" "Okay.  Han, you put these on."
"587" "HAN" "Don't worry, Chewie.  I think I know what he has in mind."
"588" "THREEPIO" "Master Luke, sir!  Pardon me for asking... but, ah... what should Artoo and I do if we're discovered here?"
"589" "LUKE" "Lock the door!"
"590" "HAN" "And hope they don't have blasters."
"591" "THREEPIO" "That isn't very reassuring."
"592" "LUKE" "I can't see a thing in this helmet."
"593" "HAN" "This is not going to work."
"594" "LUKE" "Why didn't you say so before?"
"595" "HAN" "I did say so before!"
"596" "OFFICER" "Where are you taking this... thing?"
"597" "LUKE" "Prisoner transfer from Block one-one-three-eight."
"598" "OFFICER" "I wasn't notified.  I'll have to clear it."
"599" "HAN" "Look out!  He's loose!"
"600" "LUKE" "He's going to pull us all apart."
"601" "HAN" "Go get him!"
"602" "HAN" "We've got to find out which cell this princess of yours is in.  Here it is... cell twenty-one-eight-seven.  You go get her.  I'll hold them here."
"603" "HAN" "Everything is under control.  Situation normal."
"604" "INTERCOM VOICE" "What happened?"
"605" "HAN" "Uh... had a slight weapons malfunction.  But, uh, everything's perfectly all right now.  We're fine.  We're all fine here, now, thank you.  How are you?"
"606" "INTERCOM VOICE" "We're sending a squad up."
"607" "HAN" "Uh, uh, negative, negative.  We had a reactor leak here now.  Give us a few minutes to lock it down.  Large leak... very dangerous."
"608" "INTERCOM VOICE" "Who is this?  What's your operating number?"
"609" "HAN" "Boring conversation anyway.Luke!  We're going to have company!"
"610" "LEIA" "Aren't you a little short for a stormtrooper?"
"611" "LUKE" "What?  Oh... the uniform.  I'm Luke Skywalker.  I'm here to rescue you. "
"612" "LEIA" "You're who?"
"613" "LUKE" "I'm here to rescue you.  I've got your R2 unit.  I'm here with Ben Kenobi."
"614" "LEIA" "Ben Kenobi is here!  Where is he?"
"615" "LUKE" "Come on!"
"616" "VADER" "He is here..."
"617" "TARKIN" "Obi-Wan Kenobi!  What makes you think so?"
"618" "VADER" "A tremor in the Force.  The last time I felt it was in the presence of my old master."
"619" "TARKIN" "Surely he must be dead by now."
"620" "VADER" "Don't underestimate the Force."
"621" "TARKIN" "The Jedi are extinct, their fire has gone out of the universe.  You, my friend, are all that's left of their religion."
"622" "TARKIN" "Yes."
"623" "INTERCOM VOICE" "Governor Tarkin, we have an emergency alert in detention block AA-twenty-three."
"624" "TARKIN" "The princess!  Put all sections on alert!"
"625" "VADER" "Obi-Wan is here.  The Force is with him."
"626" "TARKIN" "If you're right, he must not be allowed to escape."
"627" "VADER" "Escape may not his plan.  I must face him alone."
"628" "HAN" "Chewie!"
"629" "HAN" "Get behind me!  Get behind me!"
"630" "HAN" "Can't get out that way."
"631" "LEIA" "Looks like you managed to cut off our only escape route."
"632" "HAN" "Maybe you'd like it back in your cell, Your Highness."
"633" "LUKE" "See-Threepio!  See-Threepio!"
"634" "THREEPIO" "Yes sir?"
"635" "LUKE" "We've been cut off!  Are there any other ways out of the cell bay?...What was that?  I didn't copy!"
"636" "THREEPIO" "I said, all systems have been alerted to your presence, sir.  The main entrance seems to be the only way out; all other information on your level is restricted."
"637" "TROOPER VOICE" "Open up in there!"
"638" "THREEPIO" "Oh, no!"
"639" "LUKE" "There isn't any other way out."
"640" "HAN" "I can't hold them off forever!  Now what?"
"641" "LEIA" "This is some rescue.  When you came in here, didn't you have a plan for getting out?"
"642" "HAN" "He's the brains, sweetheart."
"643" "LUKE" "Well, I didn't..."
"644" "HAN" "What the hell are you doing?"
"645" "LEIA" "Somebody has to save our skins.  Into the garbage chute, wise guy."
"646" "HAN" "Get in there you big furry oaf!  I don't care what you smell!  Get in there and don't worry about it."
"647" "HAN" "Wonderful girl!  Either I'm going to kill her or I'm beginning to like her.  Get in there!"
"648" "HAN" "Oh!  The garbage chute was a really wonderful idea.  What an incredible smell you've discovered!  Let's get out of here!  Get away from there..."
"649" "LUKE" "No!  wait!"
"650" "LUKE" "Will you forget it?  I already tried it.  It's magnetically sealed!"
"651" "LEIA" "Put that thing away!  You're going to get us all killed."
"652" "HAN" "Absolutely, Your Worship.  Look, I had everything under control until you led us down here.  You know, it's not going to take them long to figure out what happened to us."
"653" "LEIA" "It could be worse..."
"654" "HAN" "It's worse."
"655" "LUKE" "There's something alive in here!"
"656" "HAN" "That's your imagination."
"657" "LUKE" "Something just moves past my leg!  Look!  Did you see that?"
"658" "HAN" "What?"
"659" "LUKE" "Help!"
"660" "HAN" "Luke!  Luke!  Luke!"
"661" "LEIA" "Luke!"
"662" "LEIA" "Luke, Luke, grab a hold of this."
"663" "LUKE" "Blast it, will you!  My gun's jammed."
"664" "HAN" "Where?"
"665" "LUKE" "Anywhere!  Oh!!"
"666" "HAN" "Luke!  Luke!"
"667" "LEIA" "Grab him!"
"668" "LEIA" "What happened?"
"669" "LUKE" "I don't know, it just let go of me and disappeared..."
"670" "HAN" "I've got a very bad feeling about this."
"671" "LUKE" "The walls are moving!"
"672" "LEIA" "Don't just stand there.  Try and brace it with something."
"673" "LUKE" "Wait a minute!"
"674" "LUKE" "Threepio!  Come in Threepio!  Threepio!  Where could he be?"
"675" "FIRST TROOPER" "Take over!See to him!  Look there!"
"676" "THREEPIO" "They're madmen!  They're heading for the prison level.  If you hurry, you might catch them."
"677" "FIRST OFFICER" "Follow me!  You stand guard."
"678" "THREEPIO" "Come on!"
"679" "THREEPIO" "Oh!  All this excitement has overrun the circuits of my counterpart here.  If you don't mind, I'd like to take him down to maintenance."
"680" "TROOPER" "All right."
"681" "LUKE" "Threepio!  Come in, Threepio!  Threepio!"
"682" "HAN" "Get to the top!"
"683" "LEIA" "I can't "
"684" "LUKE" "Where could he be?  Threepio!  Threepio, will you come in?"
"685" "THREEPIO" "They aren't here!  Something must have happened to them.  See if they've been captured."
"686" "THREEPIO" "Hurry!"
"687" "HAN" "One thing's for sure.  We're all going to be a lot thinner!Get on top of it!"
"688" "LEIA" "I'm trying!"
"689" "THREEPIO" "Thank goodness, they haven't found them!  Where could they be?"
"690" "THREEPIO" "Use the comlink?  Oh, my!  I forgot I turned it off!"
"691" "THREEPIO" "Are you there, sir?"
"692" "LUKE" "Threepio!"
"693" "THREEPIO" "We've had some problems..."
"694" "LUKE" "Shut down all the garbage mashers on the detention level, will you?  Do you copy?"
"695" "LUKE" "Shut down all the garbage mashers on the detention level."
"696" "LUKE" "Shut down all the garbage mashers on the detention level."
"697" "THREEPIO" "No.  Shut them all down!  Hurry!"
"698" "THREEPIO" "Listen to them!  They're dying, Artoo!  Curse my metal body!  I wasn't fast enough.  It's all my fault!  My poor master!"
"699" "LUKE" "Threepio, we're all right!"
"700" "LUKE" "We're all right.  You did great."
"701" "LUKE" "Hey... hey, open the pressure maintenance hatch on unit number... where are we?"
"702" "HAN" "Three-two-six-eight-two-seven."
"703" "HAN" "If we can just avoid any more female advice, we ought to be able to get out of here."
"704" "LUKE" "Well, let's get moving!"
"705" "HAN" "Where are you going?"
"706" "LEIA" "No, wait.  They'll hear!"
"707" "HAN" "Come here, you big coward!"
"708" "HAN" "Chewie!  Come here!"
"709" "LEIA" "Listen. I don't know who you are, or where you came from, but from now on, you do as I tell you.  Okay?"
"710" "HAN" "Look, Your Worshipfulness, let's get one thing straight!  I takeorders from one person!  Me!"
"711" "LEIA" "It's a wonder you're still alive.Will somebody get this big walking carpet out of my way?"
"712" "HAN" "No reward is worth this."
"713" "OFFICER" "Secure this area until the alert is canceled."
"714" "FIRST TROOPER" "Give me regular reports."
"715" "FIRST TROOPER" "Do you know what's going on?"
"716" "SECOND TROOPER" "Maybe it's another drill."
"717" "SECOND TROOPER" "What was that?"
"718" "FIRST TROOPER" "Oh, it's nothing.  Don't worry about it."
"719" "HAN" "There she is."
"720" "LUKE" "See-Threepio, do you copy?"
"721" "THREEPIO" "For the moment.  Uh, we're in the main hangar across from the ship."
"722" "LUKE" "We're right above you.  Stand by."
"723" "LEIA" "You came in that thing?  You're braver that I thought."
"724" "HAN" "Nice!  Come on!"
"725" "FIRST TROOPER" "It's them!  Blast them!"
"726" "HAN" "Get back to the ship!"
"727" "LUKE" "Where are you going?  Come back!"
"728" "LEIA" "He certainly has courage."
"729" "LUKE" "What good will it do us if he gets himself killed?  Come on!"
"730" "LUKE" "I think we took a wrong turn."
"731" "LEIA" "There's no lock!"
"732" "LUKE" "That oughta hold it for a while."
"733" "LEIA" "Quick, we've got to get across.  Find the control that extends the bridge."
"734" "LUKE" "Oh, I think I just blasted it."
"735" "LEIA" "They're coming through!"
"736" "LUKE" "Here, hold this."
"737" "LEIA" "Here they come!"
"738" "LEIA" "For luck!"
"739" "THREEPIO" "Where could they be?"
"740" "TROOPER" "Close the blast doors!"
"741" "TROOPER" "Open the blast doors!  Open the blast doors!"
"742" "VADER" "I've been waiting for you, Obi-Wan.  We meet again, at last.  The circle is now complete."
"743" "VADER" "When I left you, I was but the learner; now I am the master."
"744" "BEN" "Only a master of evil, Darth."
"745" "VADER" "Your powers are weak, old man."
"746" "BEN" "You can't win, Darth.  If you strike me down, I shall become more powerful than you can possibly imagine."
"747" "HAN" "Didn't we just leave this party?"
"748" "HAN" "What kept you?"
"749" "LEIA" "We ran into some old friends."
"750" "LUKE" "Is the ship all right?"
"751" "HAN" "Seems okay, if we can get to it.Just hope the old man got the tractor beam out of commission."
"752" "LUKE" "Look!"
"753" "THREEPIO" "Come on, Artoo, we're going!"
"754" "HAN" "Now's our chance!  Go!"
"755" "LUKE" "No!"
"756" "HAN" "Come on!"
"757" "LEIA" "Come on!  Luke, its too late!"
"758" "HAN" "Blast the door!  Kid!"
"759" "BEN" "Run, Luke!  Run!"
"760" "HAN" "I hope the old man got that tractor beam out if commission, or this is going to be a real short trip.  Okay, hit it!"
"761" "HAN" "We're coming up on the sentry ships.  Hold 'em off!  Angle the deflector shields while I charge up the main guns!"
"762" "LUKE" "I can't believe he's gone."
"763" "LEIA" "There wasn't anything you could have done."
"764" "HAN" "Come on, buddy, we're not out of this yet!"
"765" "HAN" "You in, kid?  Okay, stay sharp!"
"766" "LEIA" "Here they come!"
"767" "LUKE" "They're coming in too fast!"
"768" "THREEPIO" "Oooh!"
"769" "LEIA" "We've lost lateral controls."
"770" "HAN" "Don't worry, she'll hold together."
"771" "HAN" "You hear me, baby?  Hold together!"
"772" "LUKE" "Got him!  I got him!"
"773" "HAN" "Great kid!  Don't get cocky."
"774" "LEIA" "There are still two more of them out there!"
"775" "LUKE" "That's it!  We did it!"
"776" "LEIA" "We did it!"
"777" "THREEPIO" "Help!  I think I'm melting!This is all your fault."
"778" "TARKIN" "Are they away?"
"779" "VADER" "They have just made the jump into hyperspace."
"780" "TARKIN" "You're sure the homing beacon is secure aboard their ship?  I'm taking an awful risk, Vader.  This had better work."
"781" "HAN" "Not a bad bit of rescuing, huh?  You know, sometimes I even amaze myself."
"782" "LEIA" "That doesn't sound too hard.  Besides, they let us go.  It's the only explanation for the ease of our escape."
"783" "HAN" "Easy... you call that easy?"
"784" "LEIA" "Their tracking us!"
"785" "HAN" "Not this ship, sister."
"786" "LEIA" "At least the information in Artoo is still intact."
"787" "HAN" "What's so important?  What's he carrying?"
"788" "LEIA" "The technical readouts of that battle station.  I only hope that when the data is analyzed, a weakness can be found.  It's not over yet!"
"789" "HAN" "It is for me, sister!  Look, I ain't in this for your revolution, and I'm not in it for you, Princess.  I expect to be well paid.  I'm in it for the money!"
"790" "LEIA" "You needn't worry about your reward.  If money is all that you love, then that's what you'll receive!"
"791" "LEIA" "Your friend is quite a mercenary.  I wonder if he really cares about anything... or anyone."
"792" "LUKE" "I care!"
"793" "LUKE" "So... what do you think of her, Han?"
"794" "HAN" "I'm trying not to, kid!"
"795" "LUKE" "Good..."
"796" "HAN" "Still, she's got a lot of spirit.  I don't know, what do you think?  Do you think a princess and a guy like me..."
"797" "LUKE" "No!"
"798" "WILLARD" "You're safe!  We had feared the worst."
"799" "WILLARD" "When we heard about Alderaan, we were afraid that you were... lost along with your father."
"800" "LEIA" "We don't have time for our sorrows, commander.  The battle station has surely tracked us here.It's the only explanation for the ease of our escape.  You must use the information in this R2 unit to plan the attack.  It is our only hope."
"801" "TARKIN" "Yes."
"802" "DEATH STAR INTERCOM VOICE" "We are approaching the planet Yavin.  The Rebel base is on a moon on the far side.  We are preparing to orbit the planet."
"803" "DODONNA" "The battle station is heavily shielded and carries a firepower greater than half the star fleet.Its defenses are designed around a direct large-scale assault.  A small one-man fighter should be able to penetrate the outer defense."
"804" "GOLD LEADER" "Pardon me for asking, sir, but what good are snub fighters going to be against that?"
"805" "DODONNA" "Well, the Empire doesn't consider a small one-man fighter to be any threat, or they'd have a tighter defense.  An analysis of the plans provided by Princess Leia has demonstrated a weakness in the battle station."
"806" "DODONNA" "The approach will not be easy.  You are required to maneuver straight down this trench and skim the surface to this point.  The target area is only two meters wide.  It's a small thermal exhaust port, right below the main port.  The shaft leads directly to the reactor system.  A precise hit will start a chain reaction which should destroy the station."
"807" "DODONNA" "Only a precise hit will set up a chain reaction.  The shaft is ray-shielded, so you'll have to use proton torpedoes."
"808" "WEDGE" "That's impossible, even for a computer."
"809" "LUKE" "It's not impossible.  I used to bullseye womp rats in my T-sixteen back home.  They're not much bigger than two meters."
"810" "DODONNA" "Man your ships!  And may the Force be with you!"
"811" "DEATH STAR INTERCOM VOICE" "Orbiting the planet at maximum velocity.  The moon with the Rebel base will be in range in thirty minutes."
"812" "VADER" "This will be a day long remembered.  It has seen the end of Kenobi and it will soon see the end of the Rebellion."
"813" "MAN" "All flight troops, man your stations.  All flight troops, man your stations."
"814" "LUKE" "So... you got your reward and you're just leaving then?"
"815" "HAN" "That's right, yeah!  I got some old debts I've got to pay off with this stuff.  Even if I didn't, you don't think I'd be fool enough to stick around here, do you?  Why don't you come with us?  You're pretty good in a fight.  I could use you."
"816" "LUKE" "Come on!  Why don't you take a look around?  You know what's about to happen, what they're up against.  They could use a good pilot like you.  You're turning your back on them."
"817" "HAN" "What good's a reward if you ain't around to use it?  Besides, attacking that battle station ain'tmy idea of courage.  It's more like suicide."
"818" "LUKE" "All right.  Well, take care of yourself, Han... guess that's what you're best at, isn't it?"
"819" "HAN" "Hey, Luke... may the Force be with you!"
"820" "HAN" "What're you lookin' at?  I know what I'm doing."
"821" "LEIA" "What's wrong?"
"822" "LUKE" "Oh, it's Han!  I don't know, I really thought he'd change his mind. "
"823" "LEIA" "He's got to follow his own path.  No one can choose it for him."
"824" "LUKE" "I only wish Ben were here."
"825" "BIGGS" "Luke!  I don't believe it!  How'd you get here... are you going out with us?!"
"826" "LUKE" "Biggs!  Of course, I'll be up there with you!  Listen, have I got some stories to tell..."
"827" "RED LEADER" "Are you... Luke Skywalker?  Have you been checked out on the Incom T-sixty-five?"
"828" "BIGGS" "Sir, Luke is the best bushpilot in the outer rim territories."
"829" "RED LEADER" "I met your father once when I was just a boy.  He was a great pilot.  You'll do all right.  If you've got half of your father's skill, you'll do better than all right."
"830" "LUKE" "Thank you, sir.  I'll try."
"831" "BIGGS" "I've got to get aboard.  Listen, you'll tell me your stories when we come back.  All right?"
"832" "LUKE" "I told you I'd make it someday, Biggs."
"833" "BIGGS" "You did, all right.  It's going to be like old times Luke. We're a couple of shooting stars that'll never be stopped!"
"834" "CHIEF" "This R2 unit of your seems a bit beat up.  Do you want a new one?"
"835" "LUKE" "Not on your life!  That little droid and I have been through a lot together.You okay, Artoo?"
"836" "CHIEF" "Okay, easy she goes!"
"837" "THREEPIO" "Hang on tight, Artoo, you've got to come back."
"838" "THREEPIO" "You wouldn't want my life to get boring, would you?"
"839" "BEN" "Luke, the Force will be with you."
"840" "MASSASSI INTERCOM VOICE" "Stand-by alert.  Death Star approaching.  Estimated time to firing range, fifteen minutes."
"841" "RED LEADER" "All wings report in."
"842" "RED TEN" "Red Ten standing by."
"843" "RED SEVEN" "Red Seven standing by."
"844" "BIGGS" "Red Three standing by."
"845" "PORKINS" "Red Six standing by."
"846" "RED NINE" "Red Nine standing by."
"847" "WEDGE" "Red Two standing by."
"848" "RED ELEVEN" "Red Eleven standing by."
"849" "LUKE" "Red Five standing by."
"850" "RED LEADER" "Lock S-foils in attack position."
"851" "RED LEADER" "We're passing through their magnetic field."
"852" "RED LEADER" "Hold tight!"
"853" "RED LEADER" "Switch your deflectors on."
"854" "RED LEADER" "Double front!"
"855" "WEDGE" "Look at the size of that thing!"
"856" "RED LEADER" "Cut the chatter, Red Two."
"857" "RED LEADER" "Accelerate to attack speed.  This is it, boys!"
"858" "GOLD LEADER" "Red Leader, this is Gold Leader."
"859" "RED LEADER" "I copy, Gold Leader."
"860" "GOLD LEADER" "We're starting for the target shaft now."
"861" "RED LEADER" "We're in position.  I'm going to cut across the axis and try and draw their fire."
"862" "WEDGE" "Heavy fire, boss!  Twenty-threedegrees."
"863" "RED LEADER" "I see it.  Stay low. "
"864" "LUKE" "This is Red Five!  I'm going in!"
"865" "BIGGS" "Luke, pull up!"
"866" "BIGGS" "Are you all right?"
"867" "LUKE" "I got a little cooked, but I'm okay."
"868" "ASTRO-OFFICER" "We count thirty Rebel ships, Lord Vader.  But they're so small they're evading our turbo-lasers!"
"869" "VADER" "We'll have to destroy them ship to ship.  Get the crews to their fighters."
"870" "RED LEADER" "Luke, let me know when you're going in."
"871" "LUKE" "I'm on my way in now..."
"872" "RED LEADER" "Watch yourself!  There's a lot of fire coming from the right side of that deflection tower."
"873" "LUKE" "I'm on it."
"874" "CONTROL OFFICER" "Squad leaders, we've picked up a new group of signals.  Enemy fighters coming your way."
"875" "LUKE" "My scope's negative.  I don't see anything."
"876" "RED LEADER" "Keep up your visual scanning.  With all this jamming, they'll be on top of you before your scope can pick them up."
"877" "RED LEADER" "Biggs!  You've picked one up... watch it!"
"878" "BIGGS" "I can't see it!  Where is he?!"
"879" "BIGGS" "He's on me tight, I can't shake him... I can't shake him."
"880" "LUKE" "Hang on, Biggs, I'm coming in."
"881" "LUKE" "Got him!"
"882" "VADER" "Several fighters have broken off from the main group.  Come with me!"
"883" "BIGGS" "Pull in!  Luke... pull in!"
"884" "WEDGE" "Watch your back, Luke!"
"885" "WEDGE" "Watch your back!  Fighter's above you, coming in!"
"886" "LUKE" "I'm hit, but not bad."
"887" "LUKE" "Artoo, see what you can do with it.  Hang on back there."
"888" "RED LEADER" "Red Six..."
"889" "RED LEADER" "Can you see Red Five?"
"890" "RED TEN" "There's a heavy fire zone on this side. Red Five, where are you?"
"891" "LUKE" "I can't shake him!"
"892" "WEDGE" "I'm on him, Luke!"
"893" "WEDGE" "Hold on!"
"894" "LUKE" "Blast it!  Wedge where are you?"
"895" "LUKE" "Thanks, Wedge."
"896" "BIGGS" "Good shooting, Wedge!"
"897" "GOLD LEADER" "Red Leader..."
"898" "GOLD LEADER" "... This is Gold Leader.  We're starting out attack run."
"899" "RED LEADER" "I copy, Gold Leader.  Move into position."
"900" "VADER" "Stay in attack formation!"
"901" "GOLD LEADER" "The exhaust post is..."
"902" "GOLD LEADER" "... marked and locked in!"
"903" "GOLD LEADER" "Switch power to front deflection screens."
"904" "GOLD LEADER" "How many guns do you think, Gold Five?"
"905" "GOLD FIVE" "I'd say about twenty guns.  Some on the surface, some on the towers."
"906" "MASSASSI INTERCOM VOICE" "Death Star will be in range in five minutes. "
"907" "GOLD LEADER" "Switch to targeting computer."
"908" "GOLD TWO" "Computer's locked.  Getting a signal."
"909" "GOLD TWO" "The guns... they've stopped!"
"910" "GOLD FIVE" "Stabilize your rear deflectors.  Watch for enemy fighters."
"911" "GOLD LEADER" "They've coming in!  Three marks at two ten."
"912" "VADER" "I'll take them myself!  Cover me!"
"913" "WINGMAN" "Yes, sir."
"914" "GOLD LEADER" "I can't maneuver!"
"915" "GOLD FIVE" "Stay on target."
"916" "GOLD LEADER" "We're too close."
"917" "GOLD FIVE" "Stay on target!"
"918" "GOLD LEADER" "Loosen up!"
"919" "GOLD FIVE" "Gold Five to Red Leader..."
"920" "GOLD FIVE" "Lost Tiree, lost Dutch."
"921" "RED LEADER" "I copy, Gold Five."
"922" "GOLD FIVE" "They came from behind...."
"923" "OFFICER" "We've analyzed their attack, sir, and there is a danger.  Should I have your ship standing by?"
"924" "TARKIN" "Evacuate?  In out moment of triumph?  I think you overestimate their chances!"
"925" "VOICE" "Rebel base, three minutes and closing."
"926" "RED LEADER" "Red Group, this is Red Leader."
"927" "RED LEADER" "Rendezvous at mark six point one."
"928" "WEDGE" "This is Red Two.  Flying towards you."
"929" "BIGGS" "Red Three, standing by."
"930" "DODONNA" "Red Leader, this is Base One.  Keep half your group out of range for the next run."
"931" "RED LEADER" "Copy, Base One.  Luke, take Red Two and Three.  Hold up here and wait for my signal... to start your run."
"932" "RED LEADER" "This is it!"
"933" "RED TEN" "We should be able to see it by now."
"934" "RED LEADER" "Keep your eyes open for those fighters!"
"935" "RED TEN" "There's too much interference!"
"936" "RED TEN" "Red Five, can you see them from where you are?"
"937" "LUKE" "No sign of any... wait!"
"938" "LUKE" "Coming in point three five."
"939" "RED TEN" "I see them."
"940" "RED LEADER" "I'm in range."
"941" "RED LEADER" "Target's coming up!"
"942" "RED LEADER" "Just hold them off for a few seconds."
"943" "VADER" "Close up formation."
"944" "RED LEADER" "Almost there!"
"945" "RED TEN" "You'd better let her loose."
"946" "RED LEADER" "Almost there!"
"947" "RED TEN" "I can't hold them!"
"948" "RED LEADER" "It's away!"
"949" "RED NINE" "It's a hit!"
"950" "RED LEADER" "Negative."
"951" "RED LEADER" "Negative!  It didn't go in, it just impacted on the surface."
"952" "LUKE" "Red Leader, we're right above you.  Turn to point..."
"953" "LUKE" "... oh-five; we'll cover for you."
"954" "RED LEADER" "Stay there..."
"955" "RED LEADER" "... I just lost my starboard engine."
"956" "RED LEADER" "Get set up for your attack run."
"957" "DEATH STAR INTERCOM VOICE" "Rebel base, one minute and closing."
"958" "LUKE" "Biggs, Wedge, let's close it up.  We're going in.  We're going in full throttle."
"959" "WEDGE" "Right with you, boss."
"960" "BIGGS" "Luke, at that speed will you be able to pull out in time?"
"961" "LUKE" "It'll be just like Beggar's Canyon back home."
"962" "BIGGS" "We'll stay back far enough to cover you."
"963" "WEDGE" "My scope shows the tower, but I can't see the exhaust port!  Are you sure the computer can hit it?"
"964" "LUKE" "Watch yourself!  Increase speed full throttle!"
"965" "WEDGE" "What about that tower?"
"966" "LUKE" "You worry about those fighters!  I'll worry about the tower!"
"967" "LUKE" "Artoo... that, that stabilizer's broken loose again!  See if you can't lock it down!"
"968" "WEDGE" "I'm hit!  I can't stay with you."
"969" "LUKE" "Get clear, Wedge."
"970" "LUKE" "You can't do any more good back there!"
"971" "WEDGE" "Sorry!"
"972" "VADER" "Let him go!  Stay on the leader!"
